building_id,building_name,ward,area,year_built,inspection_date,condition,risk_level,recommended_action
b97edbaa-4a48-4982-80fc-b2fff5ca9e41,Building 16 CHS,Uthalsar,Sector 14,2001,2018-01-23,Fair,Safe,Monitor
b62a8f87-c339-4776-962d-344f85aec95f,Building 17 CHS,Mumbra,Sector 2,1978,2023-10-23,Poor,C3,Repair
d537a12d-1c56-4baf-88d9-6af194ec3b1f,Building 18 CHS,Wagle Estate,Sector 15,2021,2021-08-23,Good,Safe,Monitor
35924f98-02ab-4317-aaa8-6f3fed9fc0c2,Building 19 CHS,Majiwada-Manpada,Sector 15,2017,2024-09-04,Fair,Safe,Monitor
f35b5fdc-efcf-4700-9859-a1ae3d32b89d,Building 20 CHS,Mumbra,Sector 6,2014,2024-02-23,Good,Safe,Monitor
e99372a5-6ce6-4b8a-9a3c-cd5206c1a5c5,Building 21 CHS,Vartak Nagar,Sector 17,2010,2020-10-09,Good,Safe,Monitor
a8785259-e9c6-4b20-905d-7fbfbbff92e1,Building 22 CHS,Mumbra,Sector 3,2012,2021-01-29,Good,Safe,Monitor
c34e6bae-dd2b-4ad1-adf9-4250ae27d679,Building 23 CHS,Uthalsar,Sector 5,1986,2024-01-22,Fair,Safe,Monitor
3822c5bf-02e3-4d71-9e4f-f3cd644099cd,Building 24 CHS,Lokmanya-Savarkar Nagar,Sector 3,1969,2025-12-03,Poor,C2B,Repair
89cd6fc3-6f9d-4075-bcdc-3bc471002a4c,Building 25 CHS,Naupada-Kopri,Sector 7,2003,2022-08-31,Fair,Safe,Monitor
8f3f832b-62c8-4536-afc7-aa72b15af6a6,Building 26 CHS,Naupada-Kopri,Sector 19,2003,2025-10-19,Fair,C3,Repair
343c5e14-79da-4b9a-ab40-c95c6d154198,Building 27 CHS,Kalwa,Sector 14,1998,2021-05-08,Fair,C2B,Repair
5c6f2ddb-9507-4a65-a224-a57a51ec95dc,Building 28 CHS,Lokmanya-Savarkar Nagar,Sector 16,2018,2024-02-15,Good,Safe,Monitor
38368d20-dc1a-44df-8ede-a72a213f12d0,Building 29 CHS,Majiwada-Manpada,Sector 13,1978,2022-05-12,Poor,C2A,Evacuate
87d97d4f-d2dd-4ff8-a5ed-1ff7b3e009d9,Building 30 CHS,Diva,Sector 1,1971,2024-12-23,Fair,C3,Repair
b49a4a18-fbdc-4299-9af4-85bbaba28304,Building 31 CHS,Kalwa,Sector 5,2000,2018-12-10,Fair,Safe,Monitor
8a7acec2-0bee-4da4-a94a-9ed158ea362d,Building 32 CHS,Kalwa,Sector 11,2009,2020-12-01,Good,Safe,Monitor
ffe81b18-14f4-4854-aa2d-1a8b0766f063,Building 33 CHS,Vartak Nagar,Sector 14,1977,2022-04-02,Dilapidated,C2A,Evacuate
1422fd99-429e-4003-ba04-c4e1b5327211,Building 34 CHS,Naupada-Kopri,Sector 12,1982,2024-01-19,Fair,C2A,Evacuate
803f8c86-e4f3-4f49-93ea-00d756253525,Building 35 CHS,Naupada-Kopri,Sector 1,1978,2025-04-23,Dilapidated,C2B,Repair
aebd9994-fd8d-4e98-817b-f935612195a7,Building 36 CHS,Lokmanya-Savarkar Nagar,Sector 5,1981,2019-09-17,Poor,C1,Demolish
0eb10740-dd64-43ac-b7ba-c5a1becb93ef,Building 37 CHS,Lokmanya-Savarkar Nagar,Sector 15,2010,2024-04-29,Good,Safe,Monitor
aead6b8d-7569-4a22-b5b9-f5c4300d0600,Building 38 CHS,Uthalsar,Sector 6,1982,2024-10-23,Dilapidated,C1,Demolish
4c74bbf5-fcf7-4172-b9b7-a2ac5138ed2b,Building 39 CHS,Kalwa,Sector 13,1989,2021-07-01,Fair,Safe,Monitor
7a5f44b1-885c-4965-a7f9-9824846d3d79,Building 40 CHS,Lokmanya-Savarkar Nagar,Sector 4,1975,2025-01-13,Poor,C2B,Repair
c48f2edd-713b-49b4-8071-6b5cd7bf64d5,Building 41 CHS,Naupada-Kopri,Sector 12,1988,2019-05-11,Good,Safe,Monitor
74926f47-2964-46cb-8f1e-b400be903dfe,Building 42 CHS,Uthalsar,Sector 17,2018,2022-02-26,Good,Safe,Monitor
4e6c89bf-1ec2-4a77-920f-6e5909c2ea8c,Building 43 CHS,Uthalsar,Sector 14,1993,2023-07-01,Fair,Safe,Monitor
636004dd-e448-41f2-906b-9a0f7fd8d122,Building 44 CHS,Wagle Estate,Sector 14,1996,2025-12-07,Good,C3,Repair
d908328b-b080-4465-936c-7afa5981b697,Building 45 CHS,Diva,Sector 16,1972,2021-01-11,Dilapidated,C3,Repair
a2e614d0-e842-4858-869e-70b04d8022fc,Building 46 CHS,Vartak Nagar,Sector 11,2009,2026-03-14,Good,Safe,Monitor
237dd5cb-998d-4508-b563-2bcb039fe830,Building 47 CHS,Lokmanya-Savarkar Nagar,Sector 15,1981,2023-01-21,Fair,C1,Demolish
24b8103b-5c0e-4e2f-901e-62e987d2b041,Building 48 CHS,Majiwada-Manpada,Sector 1,2022,2022-04-02,Good,Safe,Monitor
a15d40c1-241c-4646-a112-f86c4c55d1f7,Building 49 CHS,Mumbra,Sector 7,2013,2020-01-15,Good,Safe,Monitor
ef49b184-3099-4a4d-8162-efde47a127ad,Building 50 CHS,Vartak Nagar,Sector 18,1995,2024-09-07,Good,Safe,Monitor
143f79c8-18dc-44bd-9891-5f52ee9c0e07,Building 51 CHS,Kalwa,Sector 16,1951,2020-09-15,Dilapidated,C1,Demolish
da697c10-a88a-452d-a6bf-e89a9c880ffb,Building 52 CHS,Mumbra,Sector 16,2021,2025-09-29,Good,Safe,Monitor
ff5a744d-f84d-4241-ae98-0c4679e75312,Building 53 CHS,Vartak Nagar,Sector 8,2007,2019-01-17,Good,Safe,Monitor
f732e14f-3a23-4834-8529-39339800509f,Building 54 CHS,Majiwada-Manpada,Sector 16,2001,2024-07-10,Good,Safe,Monitor
5ebff4f4-4c5f-4694-a353-cb0125853303,Building 55 CHS,Diva,Sector 11,2020,2022-10-09,Good,Safe,Monitor
063a5bbe-f3d7-45a4-9311-ebe1d15ce001,Building 56 CHS,Lokmanya-Savarkar Nagar,Sector 4,1995,2020-10-26,Good,Safe,Monitor
236baaec-f8d0-49cb-8f20-d3e23d78af25,Building 57 CHS,Wagle Estate,Sector 7,1974,2025-09-27,Poor,C2B,Repair
82eb854b-39b8-4ee8-a503-9e309553d085,Building 58 CHS,Diva,Sector 20,1977,2024-08-11,Dilapidated,C2A,Evacuate
8a3b141f-97eb-4f99-9bcc-1a8538cee704,Building 59 CHS,Lokmanya-Savarkar Nagar,Sector 12,1986,2021-04-28,Poor,C3,Repair
8105b131-827a-4521-831b-26f5ffa18704,Building 60 CHS,Vartak Nagar,Sector 2,1972,2019-06-03,Poor,C2B,Repair
0643f3db-5683-4d90-83a1-51a0f6ea4823,Building 61 CHS,Mumbra,Sector 4,1956,2019-06-02,Dilapidated,C2B,Repair
ccc28f7e-3b72-4b37-98b7-cd430aa2a7ef,Building 62 CHS,Majiwada-Manpada,Sector 6,1951,2022-12-10,Dilapidated,C2A,Evacuate
a64ecea2-5850-4889-a4ad-e528062394e4,Building 63 CHS,Uthalsar,Sector 13,1956,2019-04-13,Poor,C3,Repair
9c47fdd6-437c-49a0-843e-b9a0c356e3ca,Building 64 CHS,Naupada-Kopri,Sector 5,2012,2025-01-22,Good,Safe,Monitor
ec5d2744-b51a-4aae-bbc3-639f4be2efd8,Building 65 CHS,Lokmanya-Savarkar Nagar,Sector 4,1969,2018-12-15,Fair,C3,Repair
08c9f44d-8493-4f67-b51b-c190a6e27dcf,Building 66 CHS,Lokmanya-Savarkar Nagar,Sector 17,2021,2024-10-19,Good,Safe,Monitor
48b7ef70-dd14-4446-9829-b06418ab12b1,Building 67 CHS,Kalwa,Sector 10,1998,2024-08-07,Fair,Safe,Monitor
bdb06181-609c-432b-9c60-7d53513baef0,Building 68 CHS,Uthalsar,Sector 7,2022,2024-11-02,Good,Safe,Monitor
fc2618b8-050b-491a-8365-9f59e6d6d710,Building 69 CHS,Wagle Estate,Sector 18,1977,2020-09-09,Poor,C1,Demolish
a5921756-d75a-475d-9659-7415ddb31854,Building 70 CHS,Mumbra,Sector 10,1959,2025-09-24,Poor,C2A,Evacuate
a3e33dec-58e9-4dec-a895-5f020fe0ee47,Building 71 CHS,Mumbra,Sector 3,1954,2025-11-19,Poor,C2B,Repair
1ad14aab-3d54-422f-84a3-05e17d106be6,Building 72 CHS,Lokmanya-Savarkar Nagar,Sector 14,1979,2025-01-04,Fair,C2B,Repair
ac466a8e-cf30-4c56-a5ba-c2da701304e5,Building 73 CHS,Wagle Estate,Sector 3,1964,2020-12-24,Dilapidated,C2B,Repair
cfd9280d-7bd9-4866-b2b9-81e65ba94054,Building 74 CHS,Vartak Nagar,Sector 15,1957,2024-05-20,Poor,C2A,Evacuate
c08a648b-6279-4eb5-ab8d-475efb2df14b,Building 75 CHS,Vartak Nagar,Sector 17,1965,2022-07-07,Dilapidated,C2A,Evacuate
3f06d1cd-9bb3-4b7d-9769-7de162b99260,Building 76 CHS,Naupada-Kopri,Sector 14,2019,2019-11-04,Good,Safe,Monitor
4644e45f-bb49-4139-9730-0b90a068edeb,Building 77 CHS,Naupada-Kopri,Sector 9,1991,2020-07-26,Good,Safe,Monitor
86fdadf2-0924-41c5-8754-b93c96c811b6,Building 78 CHS,Diva,Sector 15,2023,2023-08-30,Good,Safe,Monitor
a93ef94a-eb0c-4c06-a991-9616f1f1ee77,Building 79 CHS,Mumbra,Sector 3,1985,2025-02-13,Poor,C2B,Repair
9356d34f-4120-48f5-af22-49c4da83a0a5,Building 80 CHS,Majiwada-Manpada,Sector 4,2010,2021-09-27,Good,Safe,Monitor
5f43753e-0de4-48f0-b548-dfb88cf3ecb5,Building 81 CHS,Kalwa,Sector 18,1970,2021-03-26,Poor,C2B,Repair
f6d1dbab-8fa9-4395-b071-75f7d0ce363c,Building 82 CHS,Uthalsar,Sector 13,1954,2021-08-17,Dilapidated,C2A,Evacuate
f03dcc3d-56a4-4d8d-b9eb-cef0f67411d7,Building 83 CHS,Diva,Sector 15,2015,2018-01-05,Good,Safe,Monitor
e780e7a3-7298-43be-a4bb-2d12dc232e80,Building 84 CHS,Mumbra,Sector 15,2002,2024-12-25,Fair,Safe,Monitor
5b332efc-ca92-4375-b798-7071bc4ad756,Building 85 CHS,Mumbra,Sector 16,1956,2021-03-25,Poor,C2B,Repair
e81a0721-ce0f-4175-bbe9-21e03379c412,Building 86 CHS,Wagle Estate,Sector 10,1965,2020-09-07,Poor,C2B,Repair
58bddd9d-6bf1-4133-9644-add2ba2b6c39,Building 87 CHS,Uthalsar,Sector 8,2020,2022-07-30,Good,Safe,Monitor
83a7fbfb-0cc6-4769-b0a4-df45256899ee,Building 88 CHS,Mumbra,Sector 10,1964,2019-09-23,Dilapidated,C1,Demolish
d2bf35d0-0ebb-400c-8d02-ea8e084e86ca,Building 89 CHS,Mumbra,Sector 16,2015,2022-08-29,Good,Safe,Monitor
02798983-ec20-4d30-85c5-edd4b9aaecca,Building 90 CHS,Diva,Sector 5,1981,2020-02-20,Dilapidated,C1,Demolish
f5310a86-ef0a-4ffa-9a13-eec030f97ab3,Building 91 CHS,Majiwada-Manpada,Sector 17,1958,2022-08-27,Poor,C2B,Repair
af20435b-5b60-4580-ba63-823f868c71bf,Building 92 CHS,Mumbra,Sector 5,1984,2021-05-07,Fair,C2A,Evacuate
961e1003-7ad8-4a97-9eaa-d771966ab445,Building 93 CHS,Majiwada-Manpada,Sector 18,2007,2021-11-14,Good,Safe,Monitor
1eb4fc32-96b5-4120-98ed-602211dd7eab,Building 94 CHS,Lokmanya-Savarkar Nagar,Sector 8,2019,2021-08-11,Good,Safe,Monitor
cf13bc8b-bbe8-4d42-b761-00f0f7d97c1b,Building 95 CHS,Majiwada-Manpada,Sector 16,2023,2023-01-24,Good,Safe,Monitor
2e32d59d-e6a6-4d16-a848-ec4afd013f28,Building 96 CHS,Wagle Estate,Sector 16,1998,2025-04-24,Fair,Safe,Monitor
f309135f-c200-452f-9f07-fe93ef40a52a,Building 97 CHS,Uthalsar,Sector 15,1954,2021-09-21,Poor,C3,Repair
1623c52c-b87e-4993-a04c-3ea385c09b1e,Building 98 CHS,Wagle Estate,Sector 14,1962,2026-02-07,Dilapidated,C2A,Evacuate
ce7f3288-57a8-49a0-8d84-7076ec382c98,Building 99 CHS,Majiwada-Manpada,Sector 20,1969,2020-12-21,Poor,C2B,Repair
72093269-a59f-4255-95ad-c8e4a90d7821,Building 100 CHS,Diva,Sector 13,2000,2025-07-25,Good,C3,Repair
909ae532-e97b-4852-bae7-80822702feb8,Building 101 CHS,Diva,Sector 2,1990,2023-06-22,Good,C3,Repair
b420ef27-6e8f-4f68-b342-dbab1adba42a,Building 102 CHS,Lokmanya-Savarkar Nagar,Sector 3,1958,2021-03-23,Poor,C2B,Repair
158ce77b-4c0b-4a0b-a5f4-ac4c7d34475c,Building 103 CHS,Uthalsar,Sector 15,2005,2025-11-23,Poor,C3,Repair
1e0b3035-2b01-4e9d-aeee-a34d4f6bf858,Building 104 CHS,Majiwada-Manpada,Sector 2,1971,2018-07-08,Dilapidated,C3,Repair
6389ed18-03fb-4035-9ba6-2bda24aa242b,Building 105 CHS,Diva,Sector 14,1987,2020-09-27,Fair,Safe,Monitor
16a52469-96a6-458b-a74b-253a9bd74892,Building 106 CHS,Wagle Estate,Sector 3,2022,2022-03-30,Good,Safe,Monitor
a75a9e61-7426-4227-89cb-76652cfcbb1f,Building 107 CHS,Wagle Estate,Sector 8,1998,2024-07-16,Good,Safe,Monitor
3ce3314d-ae53-494d-862f-596b823d746e,Building 108 CHS,Vartak Nagar,Sector 1,2009,2023-02-26,Good,Safe,Monitor
657d3c0d-0292-46d5-80f8-afdce55e3fbc,Building 109 CHS,Diva,Sector 6,2009,2025-08-07,Fair,Safe,Monitor
e9a82875-bbfa-48a9-a086-76d312abc118,Building 110 CHS,Vartak Nagar,Sector 14,1959,2024-08-03,Dilapidated,C2A,Evacuate
8f31ac6a-f0be-4b64-9834-2439f8b5bfb0,Building 111 CHS,Mumbra,Sector 4,1982,2022-04-25,Dilapidated,C2A,Evacuate
0229a4be-ee12-4970-a3d9-281019262e84,Building 112 CHS,Vartak Nagar,Sector 1,1980,2021-04-26,Poor,C2A,Evacuate
63c39eeb-21ae-4082-a435-f3c867638d9a,Building 113 CHS,Naupada-Kopri,Sector 20,2000,2025-09-10,Fair,Safe,Monitor
872dafa3-2ec3-4e83-afde-5a30e6a69856,Building 114 CHS,Lokmanya-Savarkar Nagar,Sector 20,2013,2021-03-18,Good,Safe,Monitor
9e0f9445-4ea4-4c79-a39c-8ffbf2aa4a96,Building 115 CHS,Wagle Estate,Sector 4,1995,2020-10-23,Fair,Safe,Monitor
f5ab5ae5-130d-46a4-a135-98c90bf3f995,Building 116 CHS,Majiwada-Manpada,Sector 5,1955,2024-07-01,Poor,C2A,Evacuate
850553b3-b34d-423c-964f-40f7ad4b2501,Building 117 CHS,Wagle Estate,Sector 7,1961,2022-08-29,Fair,C2A,Evacuate
a4654cec-ff84-40fa-b8c4-65ff500f76e1,Building 118 CHS,Diva,Sector 17,1966,2022-02-07,Dilapidated,C3,Repair
65beab18-698d-45e2-839a-684f39693956,Building 119 CHS,Vartak Nagar,Sector 11,1984,2023-05-28,Fair,C2A,Evacuate
0d54c82a-07a6-49dd-824e-82dec51ea782,Building 120 CHS,Kalwa,Sector 18,1964,2020-07-13,Dilapidated,C1,Demolish
52572c45-c077-41dd-8957-c0f5357faedc,Building 121 CHS,Diva,Sector 4,1996,2020-12-19,Fair,Safe,Monitor
53b9ffd7-934c-4f6c-9e20-595fb687ce94,Building 122 CHS,Vartak Nagar,Sector 19,2008,2025-07-16,Good,Safe,Monitor
94554421-a612-4ba9-a1a0-9507ced0a133,Building 123 CHS,Lokmanya-Savarkar Nagar,Sector 16,1998,2019-03-20,Good,C2B,Repair
b6a1f59c-01fe-46a6-bcf3-b6d7ec636da6,Building 124 CHS,Lokmanya-Savarkar Nagar,Sector 3,1953,2021-09-05,Dilapidated,C3,Repair
74ef16d7-7cf3-4ce3-bcf6-934837825faf,Building 125 CHS,Kalwa,Sector 4,2009,2021-05-22,Fair,Safe,Monitor
b8f58f79-3bc0-469d-83b5-ad3ce2abbf9f,Building 126 CHS,Uthalsar,Sector 4,1967,2023-07-11,Poor,C1,Demolish
d2a9d0c1-6643-4425-8327-7cadc6eef937,Building 127 CHS,Majiwada-Manpada,Sector 18,1980,2023-02-02,Fair,C1,Demolish
732de612-dada-4059-b559-51ff7d1eeb15,Building 128 CHS,Uthalsar,Sector 16,2003,2022-08-27,Fair,C3,Repair
77f31b50-937d-494d-b868-7ac615a2557d,Building 129 CHS,Majiwada-Manpada,Sector 7,2002,2025-09-28,Poor,Safe,Monitor
2bac092f-d094-4847-b750-95a9ae5dc7b3,Building 130 CHS,Majiwada-Manpada,Sector 4,2006,2020-08-25,Good,Safe,Monitor
30aaab2d-67cb-4c3b-be27-70b972d1ae1b,Building 131 CHS,Naupada-Kopri,Sector 13,1997,2022-01-09,Fair,C2B,Repair
1b9ce67d-3695-4065-b170-6dfbeacbc538,Building 132 CHS,Uthalsar,Sector 7,1985,2023-02-06,Poor,C1,Demolish
e5f067eb-b92f-4efb-bda7-8e9a5c918102,Building 133 CHS,Lokmanya-Savarkar Nagar,Sector 3,1952,2019-05-31,Poor,C2A,Evacuate
8eaccb98-eed1-4ea3-a743-66ef43040279,Building 134 CHS,Lokmanya-Savarkar Nagar,Sector 11,2020,2020-06-03,Good,Safe,Monitor
5d609bab-a3dc-4366-be0c-d2781aeb13c9,Building 135 CHS,Wagle Estate,Sector 5,1968,2021-02-09,Dilapidated,C2B,Repair
6f5a9214-e9a5-40ce-b1e5-32cdda51d789,Building 136 CHS,Uthalsar,Sector 1,2019,2019-12-16,Good,Safe,Monitor
47e4e174-1f8f-44ff-a754-21879c7caec8,Building 137 CHS,Majiwada-Manpada,Sector 1,1966,2020-09-01,Poor,C2B,Repair
e2e0ba29-135d-4aa9-a7e2-558ec815acb7,Building 138 CHS,Diva,Sector 4,1972,2022-09-21,Poor,C1,Demolish
dfc3e48d-2a64-4907-b3b2-c7fd26a5cac2,Building 139 CHS,Uthalsar,Sector 15,1958,2023-10-04,Dilapidated,C2B,Repair
5be34d9f-f169-4754-b6ee-1210b0ff8ef0,Building 140 CHS,Naupada-Kopri,Sector 17,2014,2024-11-24,Good,Safe,Monitor
8044c1c2-27d9-4e20-b5dd-1595206a52f2,Building 141 CHS,Mumbra,Sector 13,1988,2018-09-07,Fair,C2B,Repair
dba13d73-1cf6-4c89-9479-9811f8f22fbf,Building 142 CHS,Uthalsar,Sector 3,2004,2022-12-22,Good,Safe,Monitor
7bef0ff4-be67-4348-b1db-939787eda27b,Building 143 CHS,Diva,Sector 11,1991,2021-01-31,Good,Safe,Monitor
432ca625-651f-435e-9db4-0b4d056dd69f,Building 144 CHS,Diva,Sector 20,1998,2023-02-02,Poor,Safe,Monitor
dc9f8b81-4883-4e7e-a65e-f2a6f21e04b1,Building 145 CHS,Diva,Sector 7,2005,2025-05-05,Fair,C3,Repair
42cbb9d2-3f7d-4987-88e1-f9f198bd7c30,Building 146 CHS,Mumbra,Sector 13,2005,2021-10-20,Fair,Safe,Monitor
ba5c8836-2b2a-48a6-8e90-a93441ed9104,Building 147 CHS,Vartak Nagar,Sector 12,2003,2021-07-04,Good,Safe,Monitor
22857802-16dc-425e-8b83-f586e305c7ca,Building 148 CHS,Uthalsar,Sector 3,1969,2019-01-09,Dilapidated,C2A,Evacuate
fc8355d6-aadc-4b72-91db-fd88a842e4bb,Building 149 CHS,Diva,Sector 2,2005,2019-06-17,Fair,C3,Repair
6e58c287-5081-4206-9b35-7c10a2c0159f,Building 150 CHS,Uthalsar,Sector 14,2025,2025-06-19,Fair,Safe,Monitor
a572bb96-d7ef-4acd-8dbc-ec2787288308,Building 151 CHS,Naupada-Kopri,Sector 10,1995,2022-09-29,Good,C2B,Repair
479389ee-cd20-479b-9879-daba79197f48,Building 152 CHS,Wagle Estate,Sector 16,1989,2020-05-21,Fair,Safe,Monitor
0690bb41-a1de-479b-8ee9-d428a6851666,Building 153 CHS,Majiwada-Manpada,Sector 4,1978,2024-03-28,Fair,C2A,Evacuate
127bef4c-11d1-40b3-952f-3bf29cd8a21f,Building 154 CHS,Diva,Sector 1,1985,2024-04-16,Dilapidated,C3,Repair
67aa65dc-8912-4fa6-a4af-0649a5df99bc,Building 155 CHS,Majiwada-Manpada,Sector 12,1984,2021-06-19,Poor,C2A,Evacuate
e65a00e9-5668-4dcf-9521-1db286cedeb1,Building 156 CHS,Kalwa,Sector 3,1950,2025-05-16,Poor,C1,Demolish
ee5569bf-b8d1-4e0a-b183-14ca9625f1fb,Building 157 CHS,Diva,Sector 7,1968,2019-01-11,Dilapidated,C3,Repair
02156edc-382c-48db-969c-fc84d224076f,Building 158 CHS,Vartak Nagar,Sector 11,1998,2022-02-24,Fair,Safe,Monitor
afe656a9-35bd-42d6-ae73-5d84cf3f988b,Building 159 CHS,Wagle Estate,Sector 20,2022,2022-03-22,Good,Safe,Monitor
8db80bf2-2c33-4b1e-96c8-182853afdce5,Building 160 CHS,Kalwa,Sector 16,1956,2025-06-04,Dilapidated,C2A,Evacuate
803b0016-e357-4ee6-a5a8-33dcde84135a,Building 161 CHS,Diva,Sector 4,2006,2020-06-01,Good,Safe,Monitor
b9c69045-6267-450e-853b-b1f34594db78,Building 162 CHS,Mumbra,Sector 17,1994,2025-08-11,Fair,Safe,Monitor
639f9e9f-3736-432f-89ef-24842a8766c2,Building 163 CHS,Naupada-Kopri,Sector 1,1989,2024-09-20,Fair,Safe,Monitor
0749da16-df52-4880-885a-30436173e130,Building 164 CHS,Vartak Nagar,Sector 10,1976,2019-07-17,Poor,C2A,Evacuate
2a0f7d93-4378-4229-ba68-daed6b45378e,Building 165 CHS,Wagle Estate,Sector 5,1991,2022-10-30,Fair,Safe,Monitor
9fcc85c7-9cac-426f-af73-ccffa09cb345,Building 166 CHS,Majiwada-Manpada,Sector 3,1998,2024-04-07,Fair,Safe,Monitor
dc3be6b7-dcf9-4cb5-b6dd-bdec2ec417a2,Building 167 CHS,Mumbra,Sector 3,2000,2018-03-18,Good,Safe,Monitor
a02352aa-829c-4bf9-baf7-8a0376a50c67,Building 168 CHS,Kalwa,Sector 10,1990,2025-12-16,Fair,Safe,Monitor
31801b1e-647c-4745-9ce0-31096582cb38,Building 169 CHS,Mumbra,Sector 12,1964,2019-12-05,Dilapidated,C3,Repair
1f5e08e6-45af-4d3a-908f-731eb9b82ed7,Building 170 CHS,Kalwa,Sector 17,1961,2022-11-20,Dilapidated,C1,Demolish
012b7f47-02b9-43d8-ba34-3b8bbb818d7a,Building 171 CHS,Lokmanya-Savarkar Nagar,Sector 11,1960,2021-10-22,Poor,C2A,Evacuate
8af87017-f8d0-4855-81f7-e23bb853ce03,Building 172 CHS,Diva,Sector 7,1971,2023-12-14,Poor,C2B,Repair
bb7bcece-bb06-4ac2-ac12-7ed33b363c7d,Building 173 CHS,Wagle Estate,Sector 8,1994,2025-03-28,Fair,C2B,Repair
b31ad087-dbf8-45da-8536-5ec538adb6ba,Building 174 CHS,Wagle Estate,Sector 3,1963,2024-10-03,Poor,C1,Demolish
f7c97493-aedf-48a5-818d-e385bb138b5b,Building 175 CHS,Mumbra,Sector 19,1972,2023-03-16,Fair,C2B,Repair
f26f68bf-d657-4dbb-b9b8-b06dea02f0f6,Building 176 CHS,Mumbra,Sector 3,1991,2019-09-11,Good,Safe,Monitor
9465d0cf-bbad-48f4-b057-7e30fb0631ab,Building 177 CHS,Vartak Nagar,Sector 19,2010,2021-05-25,Good,Safe,Monitor
7d7c4f16-2637-4041-ad61-3e024007ca81,Building 178 CHS,Mumbra,Sector 2,1957,2023-03-07,Poor,C1,Demolish
69332879-a580-4103-b760-796fab4631bd,Building 179 CHS,Uthalsar,Sector 20,1957,2025-03-25,Poor,C2A,Evacuate
2251561f-14fc-4481-9eee-2fe896c4c42f,Building 180 CHS,Diva,Sector 2,2014,2024-07-05,Good,Safe,Monitor
6baeee41-97a0-4e36-9fab-a5e1b219de71,Building 181 CHS,Lokmanya-Savarkar Nagar,Sector 11,2007,2024-05-30,Fair,Safe,Monitor
95c52ce2-bca7-41a4-90a9-9c5be1c06eee,Building 182 CHS,Mumbra,Sector 4,2010,2018-09-11,Good,Safe,Monitor
0691fef3-82a7-457f-b78e-b8b1961f1d0c,Building 183 CHS,Wagle Estate,Sector 2,1993,2025-03-31,Poor,Safe,Monitor
cbc59ecf-fa5d-4f22-9fb6-3e7c68455366,Building 184 CHS,Diva,Sector 20,1981,2023-11-17,Dilapidated,C3,Repair
b92559a9-4f05-4e2e-b93c-47b36eca7dcb,Building 185 CHS,Kalwa,Sector 11,1970,2022-05-06,Poor,C3,Repair
cbc6b243-7237-4ff5-bd13-ea64e12c26db,Building 186 CHS,Majiwada-Manpada,Sector 4,1956,2018-09-27,Dilapidated,C2B,Repair
5806164d-17e1-4d07-94a9-68ad9a53d211,Building 187 CHS,Vartak Nagar,Sector 20,2021,2021-03-09,Good,Safe,Monitor
2e6d70cd-2119-4d3d-ac11-ec76ce24554d,Building 188 CHS,Majiwada-Manpada,Sector 10,1969,2019-08-03,Poor,C2B,Repair
f33fcdb4-e6d7-487f-b558-27ae669b57e0,Building 189 CHS,Vartak Nagar,Sector 18,2000,2018-12-14,Fair,C3,Repair
