incident_id,incident_date,ward,area,incident_type,severity,affected_population,injuries,deaths,financial_loss,response_time_minutes,resolution_time_hours,status
8359b87b-3d2a-415d-b725-ca848a6ddc8d,2021-07-19,Naupada-Kopri,Locality 26,Flood,Moderate,12,0,0,31847.81,58,44,Resolved
a01cad15-9d4b-48b8-9204-16f17703584d,2024-06-07,Kalwa,Locality 44,Flood,Minor,2,0,0,39834.57,8,46,Resolved
ec828139-4aca-4804-ac27-77a915ad0fde,2025-07-28,Naupada-Kopri,Locality 49,Tree Fall,Major,442,18,0,6296.62,18,47,Resolved
9f8a0f16-c2da-48a6-9a15-7e6a7cc4fa89,2025-04-24,Lokmanya-Savarkar Nagar,Locality 49,Gas Leakage,Moderate,19,2,0,46619.47,35,21,Resolved
76ca834d-1b96-4b91-b158-cb5163af42d7,2025-08-15,Mumbra,Locality 31,Flood,Moderate,2,2,0,18666.56,38,5,Resolved
4b596172-a0f7-470b-a46f-9d5e7effd96f,2024-12-20,Diva,Locality 1,Landslide,Minor,1,4,0,9970.96,57,62,Resolved
82bca379-7df8-48db-baae-4330238484f9,2021-10-07,Uthalsar,Locality 31,Fire,Minor,8,1,0,20163.65,41,25,Resolved
5374e2f7-32ff-448e-aa58-fd708ffabc5f,2024-06-25,Diva,Locality 6,Tree Fall,Major,354,11,0,4711.38,36,62,Resolved
8909ccea-b49a-426c-aaac-6ad3f5275625,2026-09-09,Wagle Estate,Locality 27,Flood,Major,385,13,0,4093.09,42,46,Resolved
8e2ab4ba-074d-42a3-a0cb-eba37ef75179,2023-08-11,Diva,Locality 9,Flood,Moderate,17,1,0,11785.61,28,47,Resolved
2245baf3-a1a5-4b37-9fd4-6cd1d49786a8,2024-08-07,Naupada-Kopri,Locality 39,Flood,Major,475,6,0,38621.16,40,23,Resolved
8a062c9e-b51a-4e48-bc27-82d1783819e1,2020-07-18,Mumbra,Locality 23,Flood,Moderate,19,3,0,6089.64,51,25,Resolved
c3e71ba7-e6a3-408e-a545-1786f1eb3f24,2025-05-06,Kalwa,Locality 27,Fire,Moderate,8,2,0,42674.14,36,35,Resolved
d8a50802-2767-4ffe-bb38-89a3f9d72c45,2018-06-15,Wagle Estate,Locality 36,Fire,Major,485,9,0,6032.71,5,16,Resolved
883abaa1-98e9-49f0-9212-80c3048bde89,2026-06-02,Diva,Locality 49,Tree Fall,Moderate,0,3,0,37261.69,57,45,Resolved
ad1d2298-8f52-4810-a434-0d308ca3b1cb,2026-06-04,Naupada-Kopri,Locality 44,Road Accident,Minor,13,0,0,6334.74,40,72,Resolved
eb7b21fd-db33-487f-8701-4a5f72b59927,2022-09-09,Mumbra,Locality 28,Tree Fall,Moderate,12,4,0,11395.13,39,71,Resolved
0ead7ce4-a1e2-4407-acd3-bdd1fd25ce22,2022-08-13,Majiwada-Manpada,Locality 29,Flood,Minor,8,1,0,12464.54,57,57,Resolved
703d7de9-57e5-409f-b375-1d2a2c663433,2021-07-07,Mumbra,Locality 11,Road Accident,Moderate,16,1,0,8654.63,60,56,Resolved
ee921ac0-59a4-4678-a7fc-e62a5865532d,2020-07-07,Mumbra,Locality 19,Flood,Minor,10,4,0,44417.35,36,32,Resolved
bf2f15b8-8d8a-4fbb-a608-d3aeb453fb04,2022-06-01,Majiwada-Manpada,Locality 42,Flood,Critical,288,2,1,776393.95,6,62,Resolved
0510cd19-7708-49a4-9098-f2f579b10d74,2023-06-19,Mumbra,Locality 49,Tree Fall,Moderate,10,3,0,19504.81,41,69,Resolved
e14dc375-1d77-48d9-85eb-ce5d7744398a,2026-10-03,Mumbra,Locality 28,Fire,Major,186,17,0,48872.2,19,50,Resolved
0aa1b9f5-207b-4042-a049-d4c7bb5c98a2,2026-08-12,Diva,Locality 42,Flood,Moderate,11,2,0,25792.29,43,45,Resolved
4593cb8a-38e7-42c9-8882-1051a3523746,2026-06-09,Vartak Nagar,Locality 28,Tree Fall,Minor,7,5,0,30445.42,29,9,Resolved
43bcafea-fdac-4975-ba4b-ee750613f6b4,2020-06-11,Mumbra,Locality 41,Building Emergency,Minor,5,3,0,24685.26,20,57,Resolved
62096bbd-146e-4a8a-8ac3-75eaad0c889e,2026-08-15,Mumbra,Locality 36,Flood,Minor,18,0,0,39487.04,44,11,Resolved
76fb06c6-e965-4747-ad79-30e8430156d5,2023-08-12,Mumbra,Locality 47,Building Emergency,Moderate,5,5,0,27355.46,19,17,Resolved
281c8b09-3f0d-4bf8-94f3-e819c2a74357,2018-01-02,Majiwada-Manpada,Locality 29,Building Emergency,Moderate,7,2,0,15045.98,52,15,Resolved
3c88f9c9-9f15-4fca-be0c-3257b759892c,2018-07-11,Uthalsar,Locality 27,Tree Fall,Moderate,4,2,0,15842.92,16,38,Resolved
0387ce62-8e25-41a5-8b18-02dc54cfce35,2025-12-04,Wagle Estate,Locality 22,Building Emergency,Minor,7,1,0,13101.18,8,53,Resolved
b02599e1-f381-451c-8340-47577ee60d06,2023-09-20,Mumbra,Locality 11,Flood,Minor,16,4,0,33856.76,6,51,Resolved
70056cd4-6338-4097-a45c-0dc3794cdf08,2024-06-01,Diva,Locality 33,Flood,Moderate,20,3,0,38431.45,25,61,Resolved
5ae959e1-c48b-4044-8715-b519129a6f39,2025-03-07,Mumbra,Locality 30,Building Emergency,Major,112,15,0,13130.0,42,61,Resolved
30d245a1-224f-47c5-9dbc-e58fb293715d,2021-09-28,Kalwa,Locality 33,Fire,Major,414,15,0,2334.04,36,64,Resolved
c9e74d4b-9754-4565-b156-3cb1a95839d5,2018-09-22,Vartak Nagar,Locality 39,Flood,Minor,12,2,0,33426.22,33,18,Resolved
7ae0c827-32b4-440e-933e-1b4bdaa94911,2018-09-22,Uthalsar,Locality 45,Flood,Minor,4,3,0,30995.54,50,24,Resolved
c739cace-eb89-42e6-b00d-4c5e6fdb66df,2020-07-12,Vartak Nagar,Locality 48,Tree Fall,Minor,11,0,0,17295.75,24,11,Resolved
dc4dcf55-d107-49cc-b22c-96f2f7d3841f,2025-06-11,Lokmanya-Savarkar Nagar,Locality 18,Tree Fall,Moderate,20,5,0,47334.61,33,22,Resolved
7df02428-f1ff-4d63-aee4-5f32727c0aa0,2026-08-15,Naupada-Kopri,Locality 45,Flood,Critical,281,18,3,396397.74,25,26,Resolved
11be404f-a419-4b38-b8fe-a87053ab04a4,2021-06-24,Kalwa,Locality 14,Building Emergency,Minor,19,5,0,24383.72,32,67,Resolved
1d7e9a97-ad28-47f1-a547-6071cdf34f79,2018-05-12,Uthalsar,Locality 12,Heat Wave,Major,33,3,0,21028.55,31,58,Resolved
d581881f-bade-41a0-b74c-a3ee42f76264,2019-09-11,Kalwa,Locality 31,Road Accident,Moderate,16,4,0,23045.21,6,24,Resolved
525dac5f-8393-4614-bb5b-611b68556045,2026-05-25,Wagle Estate,Locality 15,Heat Wave,Minor,15,5,0,29101.72,24,11,Resolved
fb2c0cee-56ce-4231-be6d-67f47312f0ab,2024-06-23,Lokmanya-Savarkar Nagar,Locality 27,Flood,Moderate,17,4,0,19226.97,18,5,Resolved
8a2a7112-7f15-4c9d-8dfb-9b7c000c99ae,2024-07-25,Diva,Locality 43,Flood,Critical,211,15,1,582157.19,32,44,Resolved
9ef9ee12-a849-473a-925c-e6bea29a5221,2023-07-12,Majiwada-Manpada,Locality 19,Flood,Moderate,3,1,0,37015.65,53,42,Resolved
3cbe9d92-02ab-4467-a330-e665ca2f260d,2025-06-16,Wagle Estate,Locality 45,Building Emergency,Minor,17,0,0,15389.54,16,43,Resolved
4984d575-dc34-4287-b73e-a0911dc6936d,2026-12-18,Uthalsar,Locality 34,Fire,Minor,14,4,0,45685.31,56,42,Resolved
1d58a54f-6698-46ec-ad18-55775e4714cf,2022-07-25,Majiwada-Manpada,Locality 19,Flood,Major,481,6,0,3276.79,6,20,Resolved
3b74c20a-9f9a-4670-a39d-f649d207ae6a,2018-06-26,Mumbra,Locality 25,Flood,Major,7,11,0,29412.83,12,52,Resolved
68cfb967-6ec5-4893-b52f-6852dd11bc2a,2019-07-03,Majiwada-Manpada,Locality 15,Tree Fall,Moderate,20,5,0,19737.93,32,12,Resolved
ad9404ff-7eeb-4bd6-8615-c27e48b41e1d,2023-07-02,Naupada-Kopri,Locality 42,Flood,Minor,17,2,0,17450.04,24,5,Resolved
886eba88-f68c-464b-9ef7-676b3a0bc851,2025-03-01,Kalwa,Locality 20,Fire,Major,310,20,0,31525.56,7,50,Resolved
26043b61-10a4-41ab-a481-02a53da69012,2021-10-11,Kalwa,Locality 3,Road Accident,Moderate,7,5,0,35104.58,46,65,Resolved
bb5b75f2-6c5b-42ff-a16e-a3a712691b9e,2021-07-18,Lokmanya-Savarkar Nagar,Locality 24,Road Accident,Moderate,10,3,0,7865.13,15,39,Resolved
668a990a-e617-4950-b6c3-d3e6961fbe09,2019-12-16,Naupada-Kopri,Locality 42,Road Accident,Moderate,5,1,0,12549.91,9,38,Resolved
45fcb5c3-c1f3-4e5d-bb40-ffcaa1a98aaa,2024-08-13,Lokmanya-Savarkar Nagar,Locality 17,Flood,Moderate,11,0,0,38750.29,51,5,Resolved
ad89096b-726f-4741-beac-50fa3e5b23db,2022-08-23,Diva,Locality 41,Flood,Major,84,19,0,40152.59,31,64,Resolved
d4fe76ce-c284-43d5-b322-e018f5d904f9,2022-02-01,Kalwa,Locality 29,Building Emergency,Minor,6,3,0,3495.55,42,65,Resolved
b6e847a9-f295-45a7-baae-6d07a153dd14,2026-09-04,Kalwa,Locality 41,Flood,Critical,279,19,0,300590.46,6,30,Resolved
b7dae827-c267-4bbc-aa1b-dc293872eb6e,2020-06-18,Uthalsar,Locality 27,Flood,Minor,12,0,0,19670.09,25,34,Resolved
3e85b548-5c72-48d1-98ea-e34075b6c8b6,2025-06-08,Mumbra,Locality 26,Landslide,Major,303,9,0,21663.48,13,57,Resolved
ebe454f9-7e98-4c50-a50f-09091f49560d,2020-06-26,Majiwada-Manpada,Locality 4,Tree Fall,Critical,323,20,3,352088.11,7,72,Resolved
4151678c-8112-4937-b3db-a323b96fbe81,2025-09-04,Mumbra,Locality 3,Fire,Critical,457,9,2,796605.87,11,55,Resolved
6fe69f01-5c3d-4e2f-8210-36cfe17866fd,2019-09-09,Vartak Nagar,Locality 17,Flood,Moderate,3,3,0,17315.45,59,34,Resolved
42569c3f-107e-4759-ab6d-9311af0bc13c,2023-07-22,Diva,Locality 48,Tree Fall,Major,305,6,0,30380.16,55,54,Resolved
6ce6fe55-2114-4919-8a5b-bfb2058b4b72,2019-07-27,Lokmanya-Savarkar Nagar,Locality 9,Flood,Critical,10,16,2,635443.41,36,55,Resolved
127b29b1-1ffc-4b07-9607-13d390312b91,2021-09-15,Lokmanya-Savarkar Nagar,Locality 31,Fire,Moderate,13,2,0,37061.19,24,23,Resolved
a519c811-322a-4867-8f47-7e0407f1349c,2019-07-10,Kalwa,Locality 45,Flood,Minor,3,2,0,1166.7,15,56,Resolved
c51b917a-f86d-44e9-9064-ad1d35d46214,2023-07-12,Majiwada-Manpada,Locality 47,Flood,Minor,4,4,0,10675.4,57,56,Resolved
cfccda21-91a9-4e0c-a513-9104dd1bc165,2026-04-09,Uthalsar,Locality 37,Building Emergency,Major,341,13,0,17889.2,58,2,Resolved
978b1c76-4a8a-4a8b-9c7f-7a87d3351ba5,2023-09-25,Wagle Estate,Locality 33,Tree Fall,Major,326,12,0,1324.78,30,70,Resolved
0aee51ac-8b10-45d7-bc43-2ce847d0d085,2026-08-06,Naupada-Kopri,Locality 14,Flood,Moderate,9,3,0,4519.23,30,25,Resolved
51cc6572-8f50-4720-9a73-06075bd2b235,2021-06-16,Diva,Locality 10,Flood,Critical,449,9,3,242521.61,20,32,Resolved
ca6ee5b8-1ffc-493c-97f4-fb6c9f4389cd,2024-07-15,Vartak Nagar,Locality 8,Tree Fall,Moderate,18,4,0,17451.41,37,66,Resolved
15206f0e-779a-4e92-97c6-78027db07d2c,2024-05-18,Mumbra,Locality 37,Fire,Moderate,9,3,0,37875.59,42,20,Resolved
91310bf1-c07e-42ee-ba69-54cdbfad96be,2019-06-07,Kalwa,Locality 27,Flood,Moderate,16,5,0,44356.46,15,52,Resolved
7cb84e89-af50-4738-8825-7c4cf457a350,2018-09-22,Majiwada-Manpada,Locality 14,Flood,Minor,5,5,0,21711.91,33,65,Resolved
62a49ae2-dc1f-4268-8a2e-c60e16d3c2f2,2021-07-28,Uthalsar,Locality 3,Flood,Moderate,6,4,0,1725.88,20,39,Resolved
6d59059c-1b3d-49fe-946f-4300c59d485a,2021-09-07,Lokmanya-Savarkar Nagar,Locality 33,Fire,Minor,0,2,0,39978.95,47,13,Resolved
92040744-5d1f-4292-9e82-d7700e549c0c,2018-07-06,Lokmanya-Savarkar Nagar,Locality 33,Flood,Moderate,16,4,0,3857.73,12,29,Resolved
f94546f4-5b9b-4e9a-bbc0-0128218c6728,2023-12-07,Uthalsar,Locality 37,Building Emergency,Minor,15,2,0,38969.78,47,31,Resolved
995e9b45-791a-467f-9cba-0096bc85f567,2021-07-09,Uthalsar,Locality 50,Tree Fall,Major,218,20,0,40369.91,6,49,Resolved
83e4b578-f27a-4594-98ff-d817ea6dbcf6,2021-09-23,Kalwa,Locality 42,Flood,Minor,5,2,0,20461.73,14,53,Resolved
48c15341-3342-4146-8cf9-b8b199abbe93,2025-05-18,Wagle Estate,Locality 45,Building Emergency,Minor,4,2,0,6133.51,55,71,Resolved
a06a1404-41b1-44bc-9309-dec6b274e9f8,2019-07-26,Lokmanya-Savarkar Nagar,Locality 19,Building Emergency,Minor,1,3,0,7143.26,8,68,Resolved
b8db6e7a-e988-4b0e-b47a-0e649fc1bb8b,2025-09-21,Naupada-Kopri,Locality 3,Flood,Minor,18,5,0,31141.3,38,9,Resolved
66461b19-b9af-4c93-874e-19e44a69fef2,2023-08-06,Kalwa,Locality 27,Landslide,Minor,17,2,0,3431.26,39,28,Resolved
7c80690f-b48d-4e4b-a697-5d04d808d105,2020-08-04,Vartak Nagar,Locality 34,Flood,Minor,14,1,0,24081.17,17,7,Resolved
923e28c6-2287-44ff-8cdb-3568c90d7cb4,2018-08-07,Naupada-Kopri,Locality 48,Flood,Moderate,12,1,0,2282.14,8,44,Resolved
022349cd-1117-47b8-b76c-2c39a141251a,2020-07-21,Vartak Nagar,Locality 40,Flood,Moderate,16,4,0,41440.91,46,58,Resolved
60ba3205-728c-4cbb-b36c-cfcbbf63194f,2020-09-03,Lokmanya-Savarkar Nagar,Locality 10,Road Accident,Minor,19,1,0,27114.52,26,23,Resolved
7bd7bf73-c25f-490c-804c-074ff721dd5d,2020-04-05,Mumbra,Locality 3,Road Accident,Moderate,3,1,0,48239.48,25,33,Resolved
